serial,I_NH3,I_NO3,I_BOD5,I_COD,I_Turb,I_TSS,I_TDS,I_PH,O_CL2,O_NH3,O_NO3,O_BOD5,O_COD,O_Turb,O_TSS,O_TDS,O_PH,source
172,54.0,1.9,275,605,65.0,183,649,7.85,0.26,0.06,1.0,1.8,12,0.25,1,634,8.14,train_val
514,65.8,1.5,383,752,66.0,157,694,7.4,0.15,0.05,1.2,2.1,16,0.16,1,466,7.73,train_val
228,99.0,2.1,361,685,700.0,1113,797,8.45,0.22,0.37,1.3,4.2,18,0.31,1,665,8.26,train_val
213,86.0,2.2,351,685,441.0,1012,808,7.62,0.23,0.25,1.1,3.8,18,0.37,1,661,7.76,train_val
352,47.0,2.4,516,1033,225.0,415,627,7.53,0.28,0.14,1.9,5.1,18,0.35,1,554,7.79,train_val
135,76.0,2.1,255,415,158.0,343,926,7.77,0.32,0.15,1.0,1.2,13,0.43,1,524,8.35,train_val
220,109.0,1.9,355,692,535.0,884,899,7.82,0.2,0.36,1.5,2.3,12,0.52,1,672,8.23,train_val
147,58.0,1.8,321,311,215.0,457,575,8.03,0.28,0.1,0.7,1.7,10,0.56,1,638,8.16,train_val
330,69.0,2.5,720,1176,645.0,799,1074,7.87,0.4,0.83,5.8,3.1,18,0.39,1,540,8.29,train_val
218,93.0,2.8,355,692,220.0,593,869,8.27,0.28,0.33,1.5,2.3,12,0.31,1,664,8.05,train_val
259,85.0,2.1,355,692,68.0,190,875,7.86,0.45,0.14,1.0,4.2,15,1.5,1,679,8.22,train_val
133,49.0,1.9,338,488,540.0,850,629,7.32,0.28,0.57,1.0,1.4,13,0.32,1,511,8.22,train_val
348,57.0,1.8,422,812,250.0,520,638,7.79,0.2,0.11,1.8,4.1,16,0.22,1,549,8.23,train_val
206,57.0,2.1,311,635,90.0,285,838,8.25,0.3,0.36,1.7,4.1,16,0.27,1,683,8.06,train_val
304,70.0,2.1,233,510,32.0,663,808,7.83,0.23,0.25,1.0,4.2,14,0.34,1,515,8.05,train_val
233,67.0,2.1,402,791,61.0,211,814,8.16,0.26,0.28,1.4,3.8,16,0.65,1,726,8.4,train_val
200,75.0,1.8,295,605,226.0,582,856,8.11,0.32,0.27,1.8,2.8,14,0.48,1,688,8.02,train_val
509,57.0,1.7,410,833,37.0,104,574,7.66,0.12,0.07,0.6,3.2,12,0.16,1,469,8.2,train_val
489,78.87,2.2,380,805,592.0,812,838,7.58,0.12,0.09,1.5,2.1,15,0.17,1,379,7.5,train_val
62,74.5,2.3,288,496,214.0,241,741,7.41,0.48,0.11,2.8,2.3,10,0.14,1,726,8.16,train_val
388,58.0,3.4,397,794,874.0,875,479,7.38,0.18,0.12,1.7,1.9,17,0.49,1,454,7.89,train_val
43,63.0,1.5,341,560,107.0,286,768,8.25,0.25,0.25,2.6,2.1,14,1.2,2,635,7.63,train_val
467,18.25,2.5,310,620,4.21,23,323,7.34,0.18,0.11,0.8,1.7,19,0.17,1,371,7.51,train_val
448,30.0,2.5,355,722,106.0,185,380,8.21,0.22,0.1,2.6,2.2,18,0.24,1,426,7.77,train_val
515,72.55,2.4,383,752,67.0,135,780,7.54,0.11,0.11,1.3,2.1,16,0.2,1,488,7.8,train_val
157,73.0,1.9,311,631,115.0,296,791,8.45,0.31,0.52,1.1,3.3,16,0.53,1,639,8.29,train_val
69,36.0,1.4,301,522,111.0,214,962,7.81,0.31,0.44,2.4,2.1,13,0.59,2,879,7.36,train_val
251,97.0,2.3,311,620,49.0,165,2074,7.84,0.25,0.35,2.1,2.8,16,0.43,1,700,8.04,train_val
416,40.0,1.8,317,775,229.0,447,403,7.73,0.11,0.21,1.3,1.7,16,0.34,1,398,7.84,train_val
516,70.26,2.2,383,752,79.0,134,706,7.49,0.13,0.05,1.1,2.1,16,0.22,1,509,7.78,train_val
418,50.0,3.1,317,775,380.0,645,429,7.55,0.13,0.23,1.1,1.7,16,0.53,1,399,7.82,train_val
480,80.0,2.3,290,615,110.0,269,616,7.53,0.12,0.11,4.1,2.7,18,0.11,1,335,7.16,train_val
333,82.0,2.8,580,960,302.0,556,745,8.0,0.25,0.16,1.9,2.5,16,0.3,1,526,8.21,train_val
346,65.0,2.2,422,812,262.0,432,708,7.84,0.1,0.42,1.1,4.1,16,0.27,1,539,8.12,train_val
486,77.06,1.8,382,805,277.0,522,650,7.6,0.13,0.1,0.8,2.1,15,0.13,1,352,7.45,train_val
102,68.0,1.3,365,519,202.0,324,506,7.75,0.27,0.17,1.9,1.9,14,0.25,1,599,8.14,train_val
27,28.0,1.1,187,366,98.0,127,813,8.41,0.24,0.25,4.5,1.8,8,0.69,2,745,7.65,train_val
265,78.0,2.2,295,615,82.0,328,818,7.93,0.25,0.36,1.5,2.8,14,0.54,1,631,8.28,train_val
18,47.0,0.4,203,391,127.0,241,784,7.41,0.23,0.7,1.7,2.3,10,0.68,2,765,7.21,train_val
336,98.0,1.9,580,960,387.0,678,759,8.15,0.32,0.23,1.9,2.5,16,0.2,1,510,8.18,train_val
180,61.0,2.5,281,592,156.0,326,819,8.05,0.28,0.02,1.9,3.8,10,0.86,1,619,7.89,train_val
186,67.0,1.8,273,615,72.0,192,807,8.08,0.25,0.19,2.9,2.8,12,1.41,1,574,7.89,train_val
284,35.0,2.6,304,511,226.0,433,580,7.73,0.31,0.3,2.3,4.1,18,0.35,1,557,8.05,train_val
237,99.0,2.2,402,791,57.0,257,966,7.96,0.27,0.54,2.3,3.8,16,0.81,1,724,8.27,train_val
17,52.0,0.6,203,391,132.0,196,739,6.84,0.29,0.65,1.5,2.3,10,0.58,1,756,7.23,train_val
350,55.0,2.1,422,812,254.0,355,645,7.54,0.3,0.18,2.4,4.1,16,0.27,1,549,7.69,train_val
226,77.0,2.1,361,685,185.0,700,897,8.01,0.46,1.7,1.1,4.2,18,0.46,1,672,8.25,train_val
334,98.0,2.5,580,960,1042.0,919,653,7.98,0.2,0.15,2.3,2.5,16,0.19,1,527,8.23,train_val
435,24.0,1.9,345,820,64.0,120,356,7.79,0.22,0.15,0.9,2.3,19,0.45,1,409,7.89,train_val
67,69.0,1.1,301,522,96.0,104,569,6.96,0.46,0.68,2.6,2.5,11,0.63,1,547,7.64,train_val
391,64.0,3.2,397,794,317.0,357,641,7.01,0.1,0.18,1.2,1.9,17,0.27,1,432,7.81,train_val
331,91.0,2.2,580,960,504.0,794,762,7.91,0.48,0.38,3.4,2.5,16,0.21,1,528,8.2,train_val
236,98.0,2.5,402,791,172.0,448,1015,7.97,0.23,0.81,1.9,3.8,16,0.43,1,716,8.26,train_val
359,51.0,2.1,315,642,395.0,551,646,7.26,0.24,0.22,1.2,3.2,14,0.46,1,569,7.75,train_val
454,22.1,3.2,227,510,61.0,138,334,7.6,0.18,0.13,2.6,1.8,16,0.52,1,409,7.83,train_val
384,46.0,2.8,335,680,327.0,547,467,7.45,0.22,0.07,1.4,1.5,19,0.51,1,445,7.86,train_val
34,25.3,2.3,265,351,204.0,269,724,7.34,0.21,0.25,5.1,2.3,12,0.62,1,654,7.25,train_val
201,76.0,2.2,295,605,204.0,808,912,7.99,0.26,0.4,1.4,2.8,14,1.42,1,712,8.1,train_val
356,72.0,2.2,516,1033,238.0,580,727,7.54,0.22,0.11,1.8,5.1,18,1.16,1,548,7.74,train_val
98,57.0,1.1,412,622,136.0,214,487,6.96,0.36,0.33,2.4,2.3,12,0.62,1,681,8.12,train_val
266,44.0,2.3,295,615,72.0,154,643,8.15,0.21,0.28,1.6,2.8,14,0.35,1,624,8.32,train_val
497,54.45,2.4,415,922,35.8,116,646,7.5,0.18,0.1,2.3,2.8,18,0.26,1,461,7.54,train_val
381,53.0,2.1,335,680,764.0,833,470,7.56,0.15,0.12,1.6,1.5,19,1.13,2,463,7.92,train_val
505,57.0,3.1,390,815,116.0,269,606,7.47,0.13,0.07,2.3,2.1,15,0.23,1,457,7.65,train_val
453,29.0,2.2,227,510,90.0,168,368,7.86,0.11,0.13,3.0,1.8,16,0.29,1,419,7.81,train_val
134,43.0,2.8,255,415,210.0,415,661,7.99,0.45,0.75,1.0,1.2,13,0.35,1,516,8.41,train_val
241,82.0,1.8,392,811,196.0,315,865,8.11,0.22,0.31,5.1,1.9,15,0.42,1,695,8.06,train_val
397,43.0,2.5,411,833,128.0,271,501,7.5,0.12,0.17,2.6,2.1,18,0.23,1,439,7.81,train_val
295,59.0,1.8,322,655,132.0,357,760,7.88,0.22,0.31,0.8,3.8,16,1.22,1,559,7.95,train_val
50,28.6,1.4,306,496,209.0,268,777,8.25,0.18,0.06,2.7,2.5,13,0.41,1,635,7.62,train_val
342,88.0,3.4,580,960,89.0,166,808,7.67,0.3,0.24,2.8,3.1,16,0.2,1,519,8.32,train_val
158,77.0,2.1,311,631,280.0,580,805,8.02,0.25,0.05,1.2,3.3,16,0.51,1,659,8.43,train_val
46,53.0,0.9,341,560,130.0,215,758,7.04,0.14,0.23,4.2,2.1,14,1.5,1,615,7.25,train_val
299,66.0,2.6,295,588,178.0,396,790,7.72,0.2,0.32,1.1,5.8,18,0.36,1,513,7.84,train_val
248,90.0,2.3,311,620,125.0,322,873,7.89,0.22,0.46,2.5,2.8,16,1.19,1,755,7.96,train_val
71,101.0,1.8,326,541,241.0,286,531,8.36,0.48,0.15,2.1,2.1,13,0.54,1,458,7.62,train_val
335,79.0,2.1,580,960,399.0,724,719,8.03,0.32,0.34,1.3,2.5,16,0.77,1,513,8.21,train_val
380,43.0,1.9,335,680,548.0,737,479,7.6,0.22,0.15,1.7,1.5,19,1.06,1,463,7.95,train_val
176,78.0,2.1,281,592,55.0,198,922,7.68,0.28,0.38,1.1,3.8,10,0.46,1,608,7.94,train_val
445,34.0,2.6,355,722,55.0,120,409,7.63,0.3,0.14,2.7,2.2,18,0.34,1,431,7.76,train_val
306,75.0,1.8,233,510,227.0,633,742,7.73,0.22,0.22,1.4,4.2,14,0.73,1,500,8.04,train_val
290,39.0,1.9,322,655,92.0,199,676,7.68,0.22,0.23,2.3,3.8,16,0.28,1,548,7.96,train_val
217,83.0,2.3,351,478,137.0,457,923,8.18,0.23,0.2,1.8,3.8,13,0.32,1,667,8.19,train_val
127,94.0,2.2,338,345,154.0,373,760,8.18,0.29,0.28,1.5,1.4,15,0.2,1,503,8.35,train_val
80,45.3,1.0,390,579,130.0,148,508,7.58,0.18,0.14,2.3,2.5,12,0.19,1,493,7.59,train_val
59,44.2,1.3,198,343,102.0,134,658,7.51,0.38,1.24,2.4,1.9,9,0.41,1,583,7.36,train_val
261,35.0,1.8,295,615,50.0,139,536,8.03,0.22,0.33,1.6,2.8,14,0.51,1,665,8.2,train_val
113,98.0,1.6,263,418,246.0,322,684,7.84,0.27,0.32,2.6,1.7,11,0.54,1,635,7.34,train_val
430,34.0,3.1,345,820,194.0,333,416,7.74,0.22,0.26,1.3,2.3,19,0.34,1,403,7.74,train_val
104,43.0,1.4,248,399,215.0,328,741,7.68,0.25,0.19,2.6,2.3,9,0.35,1,467,7.54,train_val
373,30.0,1.9,368,792,219.0,378,1293,7.07,0.22,0.18,2.6,2.1,16,2.27,1,549,7.81,train_val
189,70.0,1.8,273,615,225.0,420,777,7.97,0.41,0.26,2.2,2.8,12,0.38,1,614,7.96,train_val
227,83.0,2.5,361,685,423.0,768,806,8.47,0.25,0.07,1.6,4.2,18,0.61,1,701,8.33,train_val
263,53.0,2.2,295,615,119.0,320,641,7.96,0.25,0.33,1.3,2.8,14,1.48,1,669,8.19,train_val
240,102.0,2.1,392,811,266.0,573,974,8.02,0.24,0.42,2.9,1.9,15,1.5,1,735,8.31,train_val
85,81.0,1.6,352,564,216.0,322,681,8.32,0.12,0.37,2.0,2.3,11,0.48,1,596,7.58,train_val
424,38.0,1.7,388,958,158.0,269,462,7.64,0.1,0.14,1.3,1.9,19,0.2,1,396,7.82,train_val
500,83.3,2.4,390,815,85.0,213,757,7.44,0.16,0.15,3.0,2.1,15,0.41,1,441,7.63,train_val
141,43.0,1.9,321,261,85.0,172,508,8.2,0.3,0.07,1.1,1.7,12,0.22,1,580,8.31,train_val
474,76.0,2.1,275,582,1050.0,1042,525,7.3,0.1,0.06,2.2,2.8,18,0.37,1,350,7.27,train_val
194,71.0,2.2,266,575,102.0,384,903,7.8,0.25,0.37,1.5,4.2,16,0.38,1,604,7.98,train_val
196,78.0,2.2,266,575,136.0,348,802,8.18,0.25,0.23,4.8,4.2,16,0.36,1,682,7.88,train_val
340,90.0,3.1,580,960,395.0,396,793,7.75,0.37,0.29,2.7,3.1,16,0.39,1,530,8.04,train_val
291,35.0,2.5,322,655,163.0,366,561,7.72,0.25,0.28,1.5,3.8,16,0.25,1,542,7.78,train_val
329,101.0,2.1,720,1176,418.0,591,844,8.17,0.25,0.14,2.4,3.1,18,0.23,1,532,8.19,train_val
344,50.0,2.5,580,960,133.0,226,797,8.0,0.45,0.3,2.0,3.1,16,0.31,1,549,8.32,train_val
183,97.0,2.2,273,615,85.0,190,855,8.18,0.33,0.28,1.3,2.8,12,0.5,1,586,7.75,train_val
31,32.5,1.3,147,320,102.0,134,632,8.06,0.21,0.44,3.5,1.4,7,0.74,2,583,7.36,train_val
260,62.0,1.9,295,615,311.0,707,704,7.7,0.35,0.31,1.2,2.8,14,1.8,1,676,8.18,train_val
4,94.0,2.3,174,322,196.0,263,862,8.26,0.23,0.74,1.9,2.5,11,0.25,1,745,7.54,train_val
203,71.0,1.9,295,605,86.0,376,1005,8.15,0.23,0.42,1.2,2.8,14,0.52,1,693,8.01,train_val
318,88.0,2.5,580,1120,481.0,795,754,7.8,0.48,0.21,1.5,2.5,16,0.26,1,497,8.17,train_val
132,64.0,1.6,338,488,198.0,398,830,7.75,0.28,0.12,1.0,1.4,13,0.25,1,509,8.16,train_val
12,43.0,1.8,211,395,124.0,254,802,8.3,0.5,0.51,2.4,2.4,10,0.41,2,787,7.81,train_val
190,78.0,2.2,266,530,102.0,216,950,7.97,0.33,0.27,1.6,2.1,10,1.99,1,628,8.09,train_val
288,47.0,2.8,304,511,141.0,208,721,7.68,0.33,0.28,1.6,4.1,18,0.28,1,533,8.02,train_val
477,67.0,2.4,275,582,234.0,400,1069,7.05,0.13,0.1,2.8,2.8,18,0.13,1,333,7.33,train_val
202,39.0,2.5,295,605,72.0,393,576,7.78,0.22,0.34,1.5,2.8,14,1.34,1,717,8.1,train_val
214,80.0,1.9,351,685,154.0,594,855,8.03,0.25,0.16,1.5,3.8,18,0.28,1,696,8.24,train_val
151,58.0,2.3,219,582,151.0,351,666,7.52,0.25,0.08,0.6,2.8,14,0.26,1,668,8.18,train_val
425,42.0,2.1,388,958,314.0,508,410,7.48,0.1,0.23,0.9,1.9,19,0.22,1,398,7.82,train_val
171,70.0,2.3,275,605,210.0,461,798,8.01,0.22,0.13,0.7,1.8,12,0.26,1,590,8.06,train_val
234,91.0,1.8,402,791,93.0,241,907,7.93,0.2,0.6,1.3,3.8,16,0.51,1,722,8.31,train_val
42,51.4,1.2,278,377,103.0,199,806,7.88,0.25,0.51,2.7,2.1,13,0.25,1,718,7.25,train_val
90,38.0,1.8,274,416,96.0,235,714,8.25,0.24,0.15,2.3,1.9,10,0.68,2,698,7.63,train_val
347,55.0,2.1,422,812,176.0,311,642,7.75,0.22,0.13,1.6,4.1,16,0.33,1,546,8.27,train_val
161,31.0,2.2,311,631,115.0,315,435,8.17,0.23,0.1,1.3,3.3,16,0.23,1,621,8.32,train_val
387,38.0,3.2,397,794,189.0,182,499,8.51,0.4,0.06,2.1,1.9,17,1.56,1,450,7.92,train_val
349,55.0,2.2,422,812,163.0,254,680,7.83,0.2,0.17,1.0,4.1,16,0.35,1,541,8.36,train_val
8,84.0,1.4,205,371,89.0,113,756,7.26,0.21,0.51,2.3,2.9,12,0.24,1,712,7.06,train_val
232,89.0,2.5,402,791,83.0,265,866,7.91,0.24,0.29,1.4,3.8,16,0.46,1,688,8.19,train_val
451,20.0,2.6,227,510,162.0,302,334,7.65,0.1,0.1,3.3,1.8,16,0.24,1,429,7.78,train_val
511,74.78,2.4,410,833,179.0,323,760,7.58,0.13,0.05,0.6,3.2,12,0.22,1,453,7.73,train_val
386,36.0,2.7,335,680,102.0,173,511,7.77,0.2,0.18,1.3,1.5,19,0.81,1,439,8.05,train_val
221,84.0,2.2,355,692,336.0,1096,768,8.16,0.27,0.23,1.6,2.3,12,0.46,1,685,8.19,train_val
506,64.0,2.8,410,833,109.0,221,669,7.61,0.15,0.08,1.6,3.2,12,0.16,1,456,7.69,train_val
224,88.0,1.9,355,692,66.0,208,917,7.96,0.25,0.57,1.3,2.3,12,0.33,1,671,8.19,train_val
298,63.0,2.5,295,588,269.0,641,757,7.57,0.23,0.31,0.9,5.8,18,0.61,1,520,7.91,train_val
153,38.0,2.1,219,582,95.0,110,563,8.45,0.5,0.16,0.9,2.8,14,0.97,1,655,8.21,train_val
191,40.0,2.1,266,530,45.0,92,903,8.08,0.25,0.24,1.3,2.1,10,1.89,1,630,8.17,train_val
78,92.0,1.9,390,579,148.0,171,841,8.26,0.19,0.31,2.8,2.5,12,0.37,1,771,8.36,train_val
14,35.6,0.5,211,395,141.0,175,820,8.41,0.43,0.41,2.1,2.4,10,0.52,2,754,7.14,train_val
197,69.0,1.9,295,605,75.0,272,748,8.14,0.28,0.41,2.0,2.8,14,0.45,1,662,7.93,train_val
13,51.4,1.5,211,395,123.0,196,813,8.2,0.41,0.5,2.6,2.4,10,0.49,2,788,6.78,train_val
289,55.0,2.4,322,655,124.0,233,836,7.76,0.25,0.28,1.8,3.8,16,0.29,1,534,7.99,train_val
192,64.0,1.9,266,530,156.0,338,860,8.15,0.28,0.22,0.9,2.1,10,0.38,1,621,8.07,train_val
275,33.0,1.8,355,705,146.0,212,585,7.76,0.25,0.21,1.4,3.8,13,0.38,1,513,7.97,train_val
483,70.55,2.8,290,615,215.0,278,664,7.66,0.11,0.14,1.3,2.7,18,0.23,1,346,7.38,train_val
374,57.0,3.2,368,792,493.0,788,608,7.66,0.39,0.34,2.9,2.1,16,1.22,1,563,7.94,train_val
175,83.0,2.2,275,605,255.0,557,983,7.95,0.26,0.32,1.4,1.8,12,0.87,1,595,7.94,train_val
262,50.0,2.3,295,615,138.0,356,640,7.96,0.3,0.33,1.2,2.8,14,0.52,1,665,8.18,train_val
513,59.53,2.5,383,752,127.0,243,693,7.39,0.12,0.07,1.3,2.1,16,0.39,1,499,7.74,train_val
444,41.0,2.9,355,722,141.0,287,417,7.35,0.15,0.19,2.3,2.2,18,0.22,1,425,7.82,train_val
86,68.0,1.5,274,416,152.0,188,638,8.23,0.41,0.41,2.3,1.9,11,0.63,3,658,7.48,train_val
303,61.0,2.5,233,510,226.0,361,1224,7.89,0.25,0.24,0.9,4.2,14,0.37,1,534,8.09,train_val
501,95.0,1.8,390,815,227.0,264,943,7.47,0.13,0.13,3.0,2.1,15,0.28,1,474,7.76,train_val
411,48.0,2.8,325,680,314.0,540,465,7.4,0.12,0.19,1.4,1.1,18,0.64,1,443,7.86,train_val
339,82.0,2.2,580,960,288.0,572,815,7.88,0.33,0.29,2.7,3.1,16,0.34,1,515,8.2,train_val
504,52.0,1.9,390,815,81.0,143,623,7.4,0.14,0.09,1.0,2.1,15,0.23,1,450,7.78,train_val
231,85.0,2.2,361,685,227.0,671,1020,7.77,0.25,0.35,0.9,4.2,18,0.5,1,670,8.27,train_val
503,78.0,2.2,390,815,160.0,290,668,7.22,0.12,0.03,1.4,2.1,15,0.36,1,463,7.66,train_val
429,28.0,1.8,345,820,210.0,335,423,7.48,0.1,0.19,1.8,2.3,19,0.42,1,397,7.74,train_val
337,82.0,2.5,580,960,506.0,777,842,8.09,0.24,0.22,2.1,2.5,16,0.5,1,507,8.25,train_val
286,80.0,2.6,304,511,348.0,685,609,7.47,0.22,0.21,1.5,4.1,18,0.25,1,500,7.88,train_val
28,38.0,1.3,147,320,99.0,169,793,8.32,0.36,0.48,4.3,1.4,7,0.41,1,684,7.48,train_val
37,52.0,1.2,265,351,184.0,204,721,7.68,0.25,0.25,4.1,2.5,12,0.25,1,635,7.52,train_val
463,52.81,2.5,272,560,125.0,277,452,7.92,0.18,0.09,0.6,2.3,18,0.29,1,359,7.87,train_val
372,46.0,2.6,455,922,202.0,185,698,7.91,0.28,0.16,2.4,2.4,18,1.15,1,552,7.89,train_val
400,29.0,3.1,411,833,161.0,258,737,7.56,0.21,0.19,1.6,2.1,18,0.52,1,424,7.92,train_val
